['649047', '', 'Avenida Santos Dumont, 451', '', '-23.946611762459536', '-46.297590109476396', '', '', '0', '']
['558344', '', 'Avenida Thiago Ferreira, 645', '', '-23.94209237490167', '-46.302761445455516', '', '', '0', '']
['648047', '', 'Avenida Presidente Vargas, 74-110', '', '-23.942930370823536', '-46.2980848290956', '', '', '0', '']
['649048', '', 'Avenida Presidente Vargas, 300', '', '-23.94197404428961', '-46.29585664722982', '', '', '0', '']
['600146', '', 'Avenida Presidente Vargas, 570-610', '', '-23.94148696344657', '-46.29298186867029', '', '', '0', '']
['579152', '', 'Avenida Presidente Vargas, 804', '', '-23.94134168463649', '-46.290798438929684', '', '', '0', '']
['643081', '', 'Avenida Presidente Vargas, 1150', '', '-23.941099359593235', '-46.28731715160745', '', '', '0', '']
['617118', '', 'Avenida \xc3\x81urea Gonz\xc3\xa1les de Cond\xc3\xa9, 176-208', '', '-23.940425100360503', '-46.28503139788701', '', '', '0', '']
['636118', '', 'Avenida \xc3\x81urea Gonz\xc3\xa1les de Cond\xc3\xa9, 304', '', '-23.93991790080893', '-46.28366089688201', '', '', '0', '']
['574154', '', 'Avenida \xc3\x81urea Gonz\xc3\xa1les de Cond\xc3\xa9, 552-708', '', '-23.93918960599113', '-46.281677130592485', '', '', '0', '']
['649049', '', 'Rodovia Rio-Santos, 7192-7214', '', '-23.91718127133393', '-46.28823267962953', '', '', '0', '']
['636119', '', 'Rodovia Rio-Santos, 6960-7190', '', '-23.918845821474115', '-46.286974449431156', '', '', '0', '']
['30982076', '', 'Via Angelina Preti da Silva, 895-1019', '', '-23.962630659528315', '-46.42233436509223', '', '', '0', '']
['567459', '', 'Avenida Na\xc3\xa7\xc3\xb5es Unidas, 1367', '', '-23.963599635259563', '-46.40979643038616', '', '', '0', '']
['638234', '', 'Rodovia dos Imigrantes, 7381', '', '-23.960649975312435', '-46.40457490577124', '', '', '0', '']
['537784', '', 'Rodovia dos Imigrantes, 457', '', '-23.954048947430184', '-46.410022017171144', '', '', '0', '']
['647160', '', 'Rodovia dos Imigrantes, 485', '', '-23.950748929165695', '-46.41266179186699', '', '', '0', '']
['638235', '', 'Rodovia dos Imigrantes, 4115', '', '-23.94332402607563', '-46.41857118077415', '', '', '0', '']
['5635916810682368', '', 'Rodovia dos Imigrantes, 124', '', '-23.933790515534902', '-46.42596688096157', '', '', '0', '']
['540819', '', 'Interliga\xc3\xa7\xc3\xa3o Anchieta Imigrantes, 1734-2322', '', '-23.921541158963755', '-46.418912737700815', '', '', '0', '']
['638236', '', 'Rodovia Anchieta, 2-168', '', '-23.9223336923243', '-46.41097791997115', '', '', '0', '']
['650066', '', 'Acesso Interliga\xc3\xa7\xc3\xa3o Anchieta Imigrantes', '', '-23.92595794413468', '-46.4057427729707', '', '', '0', '']
['642192', '', 'Acesso Interliga\xc3\xa7\xc3\xa3o Anchieta Imigrantes, 4347', '', '-23.927345187689745', '-46.40316410816007', '', '', '0', '']
['647162', '', 'Acesso Interliga\xc3\xa7\xc3\xa3o Anchieta Imigrantes, 7816', '', '-23.92821993883063', '-46.40045551809065', '', '', '0', '']
['598323', '', 'Avenida Marginal Direita Via Anchieta', '', '-23.928392885481006', '-46.393544973340525', '', '', '0', '']
['541779', '', 'Avenida Marginal Direita Via Anchieta, 2775', '', '-23.927782140295733', '-46.388736631704944', '', '', '0', '']
['540820', '', 'Avenida Marginal Direita Via Anchieta, 2444-2478', '', '-23.92715271814209', '-46.37724328962585', '', '', '0', '']
['650067', '', 'Avenida Martins Fontes, 5', '', '-23.930118880643754', '-46.35525639814019', '', '', '0', '']
['652021', '', 'Avenida Martins Fontes, 2131-2211', '', '-23.931110379558966', '-46.348838211898666', '', '', '0', '']
['634255', '', 'Avenida Martins Fontes, 577-807', '', '-23.929818256487643', '-46.344904563794955', '', '', '0', '']
['594322', '', 'Avenida Martins Fontes, 165', '', '-23.930498967137574', '-46.34005560241256', '', '', '0', '']
['652022', '', 'Avenida Presidente Get\xc3\xbalio Dorneles Vargas, 121-123', '', '-23.932539276633612', '-46.33746916539695', '', '', '0', '']
['540822', '', 'Elevado Aristides Bastos Machado, 15-27', '', '-23.935669795695766', '-46.334245331856096', '', '', '0', '']
['541781', '', 'Rua S\xc3\xa3o Francisco, 121', '', '-23.93676626490368', '-46.329644359545405', '', '', '0', '']
['567462', '', 'Pra\xc3\xa7a Jos\xc3\xa9 Bonif\xc3\xa1cio, 46', '', '-23.937567040499907', '-46.32538557750775', '', '', '0', '']
['5171411165118464', '', 'Rua Doutor Cochrane, 149-161', '', '-23.938912952540512', '-46.31893770106734', '', '', '0', '']
['633226', '', 'Rua Jo\xc3\xa3o Pessoa, 391', '', '-23.936233022138254', '-46.32030970565472', '', '', '0', '']
['1070020', '', 'Pra\xc3\xa7a Rui Barbosa, 23', '', '-23.93410226919233', '-46.33074768944877', '', '', '0', '']
['1169025', '', 'Avenida Visconde de S\xc3\xa3o Leopoldo, 410', '', '-23.932930360513826', '-46.33468123065576', '', '', '0', '']
['1106073', '', 'Avenida Visconde de S\xc3\xa3o Leopoldo, 666-668', '', '-23.931267957482486', '-46.33805660389726', '', '', '0', '']
['1190009', '', 'Avenida Martins Fontes, 394-806', '', '-23.929607550316415', '-46.341221271243626', '', '', '0', '']
['1012053', '', 'Avenida Martins Fontes, 872-986', '', '-23.930003709647004', '-46.35358615655835', '', '', '0', '']
['1070021', '', 'Rodovia Anchieta, 630', '', '-23.927261288180915', '-46.37339812996652', '', '', '0', '']
['969089', '', 'Rodovia Anchieta', '', '-23.92653055878287', '-46.38253769624623', '', '', '0', '']
['909059', '', 'Rodovia Anchieta, 185-787', '', '-23.926856876342537', '-46.40309731028199', '', '', '0', '']
['969090', '', 'Interliga\xc3\xa7\xc3\xa3o Anchieta Imigrantes, 1787-2283', '', '-23.921186536974876', '-46.41927813258554', '', '', '0', '']
['1070022', '', 'Rodovia dos Imigrantes', '', '-23.939853271334986', '-46.42146243656279', '', '', '0', '']
['1135032', '', 'Ponte dos Barreiros, 36-668', '', '-23.961352381093402', '-46.41594614121062', '', '', '0', '']
['540824', '', 'Rua Jo\xc3\xa3o Pessoa, 205a', '', '-23.935217158595776', '-46.32522526536224', '', '', '0', '']
['647167', '', 'Rua Jo\xc3\xa3o Pessoa, 61/63', '', '-23.93451231559461', '-46.32873670628075', '', '', '0', '']
['567464', '', 'Avenida Visconde de S\xc3\xa3o Leopoldo, 62-168', '', '-23.9337725351364', '-46.33196265534299', '', '', '0', '']
['564227', '', 'Rod. Anchieta', '', '-23.930883519762745', '-46.35061604592498', '', '', '0', '']
['564228', '', 'Rua S\xc3\xa3o Francisco, 328-360', '', '-23.938414218267603', '-46.32151729218229', '', '', '0', '']
['600125', '', 'Pra\xc3\xa7a Na\xc3\xa7\xc3\xb5es Unidas, 3113-3199', '', '-23.989847260139776', '-46.29002571661671', '', '', '0', '']
['648020', '', 'Avenida Ademar de Barros, 2745', '', '-23.990473471454692', '-46.28433318732869', '', '', '0', '']
['584195', '', 'Avenida Ademar de Barros, 2299', '', '-23.99118041102642', '-46.27998873368172', '', '', '0', '']
['643061', '', 'Avenida Ademar de Barros, 2100', '', '-23.991570890739524', '-46.277451613666415', '', '', '0', '']
['635082', '', 'Avenida Ademar de Barros, 1479', '', '-23.99209039259169', '-46.27433651560878', '', '', '0', '']
['575122', '', 'Avenida Santos Dumont, 811-849', '', '-23.949517198290174', '-46.295206245462424', '', '', '0', '']
['636094', '', 'Rua Guilherme Guinle, 1162-1214', '', '-23.944528942743055', '-46.299240108905735', '', '', '0', '']
['617099', '', 'Av. Pres. Vargas, 93-165', '', '-23.941128350744506', '-46.28790962042447', '', '', '0', '']
['648024', '', 'Avenida \xc3\x81urea Gonzales de Cond\xc3\xa9, 2-38', '', '-23.939162313289287', '-46.28161472524278', '', '', '0', '']
['574130', '', 'Rodovia C\xc3\xb4nego Dom\xc3\xaanico Rangoni', '', '-23.916529922337897', '-46.28836447726772', '', '', '0', '']
['636099', '', 'Interliga\xc3\xa7\xc3\xa3o Anchieta Imigrantes, 2480-2598', '', '-23.91900971060129', '-46.41663154752784', '', '', '0', '']
['644068', '', 'Avenida Deputado Em\xc3\xadlio Justo, 359-407', '', '-23.921538762739416', '-46.4246838692259', '', '', '0', '']
