"lat"; "lon"; "weight"
-23.98484;  -46.40067; 1
-23.96696;  -46.33274; 6
-23.95788;  -46.33802; 5
-23.99857;  -46.41417; 2
-23.97131;  -46.37077; 5
-24.1812;  -46.4788; 7
-24.1819;  -46.47884; 3
-23.9649;  -46.3389; 3
-24.1812;  -46.47876; 4
-23.9678;  -46.37716; 2
-24.1809;  -46.47874; 1
-23.97069;  -46.39151; 1
-23.96958;  -46.33331; 10
-23.99294;  -46.40499; 2
-23.94867;  -46.33686; 7
-23.99937;  -46.41307; 2
-23.95863;  -46.33172; 3
-23.96074;  -46.33201; 2
-23.99819;  -46.41179; 3
-23.96851;  -46.3571; 1
-23.99878;  -46.41458; 6
-23.96805;  -46.35236; 10
-24.1816;  -46.47872; 18
-23.93617;  -46.33275; 3
-23.99884;  -46.41439; 1
-23.93322;  -46.33436; 3
-23.99875;  -46.41455; 2
-23.99963;  -46.41316; 2
-23.95367;  -46.3375; 2
-24.156;  -46.42627; 4
-23.97013;  -46.36562; 3
-23.94421;  -46.32905; 4
-23.96825;  -46.35721; 4
-24.1814;  -46.47869; 2
-24.1819;  -46.47881; 2
-23.93417;  -46.33066; 2
-23.94979;  -46.33068; 1
-23.9639;  -46.38442; 4
-23.96909;  -46.33593; 11
-23.94028;  -46.32489; 1
-23.93691;  -46.32468; 6
-24.1811;  -46.47873; 5
-24.1813;  -46.47869; 7
-23.97215;  -46.39898; 10
-23.97028;  -46.38858; 3
-23.96836;  -46.35243; 8
-23.96403;  -46.38421; 5
-23.9689;  -46.38892; 7
-23.96747;  -46.37796; 4
-23.96861;  -46.33299; 6
-23.93471;  -46.33494; 5
-23.96906;  -46.39081; 10
-23.97131;  -46.37048; 8
-23.96989;  -46.38626; 3
-23.95924;  -46.33811; 3
-23.96677;  -46.33277; 1
-23.96203;  -46.3322; 12
-23.97125;  -46.39165; 2
-24.1815;  -46.47877; 8
-23.95057;  -46.3371; 5
-23.99716;  -46.41022; 21
-23.94422;  -46.32897; 1
-23.99476;  -46.40726; 8
-23.99905;  -46.41423; 2
-23.9677;  -46.3472; 10
-23.99594;  -46.40896; 17
-23.93398;  -46.3314; 1
-23.94425;  -46.32863; 1
-24.1817;  -46.47871; 5
-23.97169;  -46.39513; 3
-23.94726;  -46.33661; 6
-23.96869;  -46.33291; 6
-23.93794;  -46.32467; 2
-23.95363;  -46.33742; 1
-23.96879;  -46.38541; 4
-23.96976;  -46.39041; 2
-23.99859;  -46.41445; 2
-23.94851;  -46.33049; 2
-23.95249;  -46.33093; 1
-23.96805;  -46.34216; 1
-23.96151;  -46.33843; 3
-23.98048;  -46.40128; 24
-23.93335;  -46.33478; 7
-23.94953;  -46.33058; 2
-23.96539;  -46.38152; 1
-23.93692;  -46.32465; 7
-23.99882;  -46.41319; 3
-24.1803;  -46.47864; 7
-23.9606;  -46.3383; 6
-23.96831;  -46.35721; 11
-23.96911;  -46.39045; 1
-23.93427;  -46.33018; 1
-23.96377;  -46.38494; 5
-23.9455;  -46.33011; 9
-23.96861;  -46.33766; 2
-23.96822;  -46.33298; 3
-23.97181;  -46.37006; 5
-23.96529;  -46.3389; 8
-23.96956;  -46.33321; 6
-23.95581;  -46.33141; 1
-23.93564;  -46.33391; 2
-23.97002;  -46.37309; 3
-24.1809;  -46.47878; 6
-24.18;  -46.47865; 3
-23.99873;  -46.41468; 4
-23.96985;  -46.36666; 8
-23.95437;  -46.33757; 8
-24.1295;  -46.45763; 3
-23.94711;  -46.33032; 1
-23.99864;  -46.41445; 5
-23.96896;  -46.38558; 4
-23.99872;  -46.41445; 2
-23.97139;  -46.36883; 2
-24.1817;  -46.47876; 1
-23.9678;  -46.34583; 11
-23.96486;  -46.33881; 9
-23.97421;  -46.40174; 3
-23.99866;  -46.41447; 6
-23.96837;  -46.339; 14
-23.99681;  -46.40986; 4
-23.96822;  -46.34074; 3
-23.96795;  -46.38445; 1
-23.97034;  -46.36777; 5
-23.99869;  -46.41441; 2
-23.9986;  -46.41441; 1
-24.182;  -46.47876; 13
-23.93486;  -46.32771; 2
-23.97073;  -46.37181; 4
-23.96828;  -46.34957; 1
-23.96894;  -46.38892; 2
-23.99917;  -46.41537; 5
-24.1815;  -46.47879; 11
-23.96904;  -46.36257; 5
-23.97095;  -46.36875; 7
-23.97125;  -46.3709; 1
-23.9716;  -46.39248; 6
-23.96484;  -46.38258; 1
-24.1824;  -46.47873; 3
-23.96418;  -46.38572; 2
-24.1812;  -46.47873; 7
-24.1819;  -46.47853; 1
-24.1809;  -46.47871; 8
-23.96879;  -46.38868; 6
-23.97027;  -46.36812; 3
-23.96883;  -46.38874; 2
-23.97114;  -46.39151; 4
-24.1442;  -46.45965; 2
-24.597;  -46.44386; 14
-24.1814;  -46.47875; 8
-24.1816;  -46.47869; 7
-23.96712;  -46.38175; 2
-23.967;  -46.33272; 1
-23.96903;  -46.37507; 9
-23.96945;  -46.36402; 3
-23.96782;  -46.34584; 2
-23.96402;  -46.38421; 5
-23.96467;  -46.3326; 5
-23.99868;  -46.4146; 2
-23.96627;  -46.38026; 6
-23.99878;  -46.41462; 3
-23.99868;  -46.41448; 3
-23.96954;  -46.33305; 1
-23.97128;  -46.36904; 3
-23.95247;  -46.33735; 7
-24.1818;  -46.47871; 1
-23.96844;  -46.35336; 1
-23.96984;  -46.38619; 2
-23.99882;  -46.4144; 4
-23.93693;  -46.32457; 10
